atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
1395,Separable,1,"TXT:ST elev, probable normal early repol pat",60267,7.53304542926247,
1396,Uninformative,0,,1,0.0001249945314892,
1397,Uninformative,0,,34136,4.266813326916948,
1398,Uninformative,0,,33219,4.152193341541308,
1399,Uninformative,0,,2773,0.3466098358196829,
1400,Uninformative,0,,23385,2.922997118876049,
1401,Uninformative,0,,5,0.0006249726574462,
1402,Uninformative,0,,27059,3.382227027567544,
1403,Uninformative,0,,114936,14.366371471248131,
1404,Uninformative,0,,738,0.0922459642390645,
1405,Uninformative,0,,2,0.0002499890629784,
1406,Uninformative,0,,8,0.0009999562519139,
1407,Uninformative,0,,23,0.0028748742242526,
1408,Uninformative,0,,17212,2.1514058759929253,
1409,Uninformative,0,,102757,12.844063072240589,
1410,Uninformative,0,,5952,0.7439674514240002,
1411,Dead,0,,0,0.0,
1412,Uninformative,0,,14972,1.8714181254570117,
1413,Uninformative,0,,5628,0.7034692232214841,
1414,Uninformative,0,,38045,4.755416950508415,
1415,Uninformative,0,,153,0.0191241633178548,
1416,Uninformative,0,,22,0.0027498796927634,
1417,Uninformative,0,,2655,0.3318604811039517,
1418,Uninformative,0,,16476,2.0594099008168394,
1419,Separable,1,TXT:Atrial fibrillation with slow ventricula,47064,5.882742630009937,
1420,Uninformative,0,,10133,1.2665695875805434,
1421,Uninformative,0,,11973,1.4965595255207584,
1422,Uninformative,0,,1,0.0001249945314892,
1423,Uninformative,0,,2,0.0002499890629784,
1424,Uninformative,0,,3,0.0003749835944677,
1425,Uninformative,0,,139,0.0173742398770053,
1426,Uninformative,0,,607,0.0758716806139731,
1427,Uninformative,0,,6079,0.7598417569231346,
1428,Uninformative,0,,6,0.0007499671889354,
1429,Uninformative,0,,26545,3.3179798383820707,
1430,Uninformative,0,,116,0.0144993656527526,
1431,Uninformative,0,,20801,2.6000112495078342,
1432,Uninformative,0,,11186,1.3981888292387208,
1433,Uninformative,0,,30,0.0037498359446774,
1434,Uninformative,0,,39899,4.98715681188948,
1435,Uninformative,0,,18021,2.2525264519677264,
1436,Uninformative,0,,3,0.0003749835944677,
1437,Dead,0,,0,0.0,
1438,Uninformative,0,,17704,2.212903185485635,
1439,Uninformative,0,,83697,10.461667302055536,
1440,Uninformative,0,,24197,3.024492678445318,
1441,Uninformative,0,,26293,3.2864812164467803,
1442,Uninformative,0,,203,0.0253738898923172,
1443,Uninformative,0,,10002,1.250195303955452,
1444,Uninformative,0,,50432,6.303724212065722,
1445,Uninformative,0,,54207,6.775578568437631,
1446,Uninformative,0,,27927,3.4907222809002105,
1447,Uninformative,0,,9,0.0011249507834032,
1448,Uninformative,0,,15035,1.8792927809408335,
1449,Separable,1,TXT:RBBB and LAFB,29443,3.6802139906379097,
1450,Uninformative,0,,747,0.0933709150224677,
1451,Uninformative,0,,2,0.0002499890629784,
1452,Uninformative,0,,17699,2.212278212828189,
