atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
781,Separable,1,TXT:Marked sinus bradycardia,18694,2.33664777165999,Separable,1,bradycardia,
782,Uninformative,0,,53499,6.687082440143244,Uninformative,0,,
783,Uninformative,0,,20,0.0024998906297849,Uninformative,0,,
784,Uninformative,0,,118263,14.78222827751286,Uninformative,0,,
785,Uninformative,0,,4223,0.5278519064790915,Uninformative,0,,
786,Uninformative,0,,14679,1.8347947277306615,Uninformative,0,,
787,Uninformative,0,,41227,5.153149549707201,Uninformative,0,,
788,Uninformative,0,,6590,0.82371396251414,Uninformative,0,,
789,Uninformative,0,,21000,2.6248851612741944,Uninformative,0,,
790,Uninformative,0,,31,0.0038748304761666,Uninformative,0,,
791,Uninformative,0,,78187,9.772947433549785,Uninformative,0,,
792,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
793,Uninformative,0,,54040,6.754704481678926,Uninformative,0,,
794,Uninformative,0,,30,0.0037498359446774,Uninformative,0,,
795,Uninformative,0,,899,0.1123700838088333,Uninformative,0,,
796,Uninformative,0,,361,0.0451230258676182,Uninformative,0,,
797,Uninformative,0,,3295,0.41185698125707,Uninformative,0,,
798,Uninformative,0,,3928,0.4909785196897636,Uninformative,0,,
799,Uninformative,0,,10969,1.3710650159055542,Uninformative,0,,
800,Entangled,3,"TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",8829,1.1035767185185648,Entangled,3,TXT_Extreme_tachycardia_with_w; atrial_flutter; tachycardia,Mixed
801,Uninformative,0,,24500,3.06236602148656,Uninformative,0,,
802,Entangled,4,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",6892,0.8614623110238927,Entangled,3,TXT_Extreme_tachycardia_with_w; atrial_flutter; tachycardia,Mixed
803,Uninformative,0,,49496,6.1867293305917865,Uninformative,0,,
804,Uninformative,0,,10990,1.3736899010668284,Uninformative,0,,
805,Uninformative,0,,95447,11.930353047054192,Uninformative,0,,
806,Uninformative,0,,30969,3.870955645690501,Uninformative,0,,
807,Uninformative,0,,33,0.0041248195391451,Uninformative,0,,
808,Uninformative,0,,25861,3.2324835788434254,Uninformative,0,,
809,Uninformative,0,,134,0.0167492672195591,Uninformative,0,,
810,Entangled,2,TXT:Sinus rhythm with bigeminal PVCs; TXT:Marked sinus bradycardia,8278,1.0347047316679896,Entangled,2,bradycardia; pvc,Mixed
811,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
812,Uninformative,0,,424,0.0529976813514408,Uninformative,0,,
813,Uninformative,0,,12246,1.530683032617323,Uninformative,0,,
814,Uninformative,0,,688,0.0859962376646021,Uninformative,0,,
815,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
816,Uninformative,0,,21299,2.662258526189479,Uninformative,0,,
817,Uninformative,0,,5917,0.7395926428218765,Uninformative,0,,
818,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
819,Uninformative,0,,886,0.1107451548994731,Uninformative,0,,
820,Uninformative,0,,8569,1.0710781403313605,Uninformative,0,,
821,Uninformative,0,,19151,2.393770272550576,Uninformative,0,,
822,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
823,Uninformative,0,,39399,4.924659546144857,Uninformative,0,,
824,Separable,1,TXT:Probable supraventricular tachycardia,2616,0.326985694375871,Separable,1,tachycardia,
825,Uninformative,0,,17135,2.141781297068253,Uninformative,0,,
826,Uninformative,0,,5,0.0006249726574462,Uninformative,0,,
827,Separable,1,"TXT:Abnormal R-wave progression, early trans",37274,4.659046166730206,Separable,1,rwave,
828,Separable,1,TXT:Anterolateral infarct - age undetermined,14839,1.8547938527689412,Separable,1,infarct_anterolateral,
829,Uninformative,0,,112,0.0139993875267957,Uninformative,0,,
830,Separable,1,TXT:Atrial flutter with rapid ventricular re,10788,1.3484410057060003,Separable,1,atrial_flutter,
831,Uninformative,0,,48678,6.0844838038335824,Uninformative,0,,
832,Uninformative,0,,14846,1.855668814489366,Uninformative,0,,
833,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,31814,3.976576024798915,Separable,1,pvc,
834,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
835,Entangled,2,"TXT:Abnormal R-wave progression, early trans; TXT:ST elev, probable normal early repol pat",60216,7.5266707081565185,Entangled,2,rwave; st_changes,Mixed
836,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
837,Uninformative,0,,159,0.0198741305067903,Uninformative,0,,
838,Uninformative,0,,38091,4.761166698956921,Uninformative,0,,
839,Uninformative,0,,823,0.1028704994156505,Uninformative,0,,
840,Entangled,3,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,22611,2.826251351503372,Entangled,2,atrial_flutter; tachycardia,Related
841,Uninformative,0,,33665,4.207940902585512,Uninformative,0,,
842,Uninformative,0,,21651,2.706256601273694,Uninformative,0,,
843,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
844,Uninformative,0,,21756,2.719381027080065,Uninformative,0,,
845,Uninformative,0,,23677,2.9594955220709096,Uninformative,0,,
846,Uninformative,0,,6323,0.7903404226065109,Uninformative,0,,
847,Uninformative,0,,3,0.0003749835944677,Uninformative,0,,
848,Uninformative,0,,23,0.0028748742242526,Uninformative,0,,
849,Uninformative,0,,11470,1.433687276181667,Uninformative,0,,
850,Uninformative,0,,2902,0.3627341303817958,Uninformative,0,,
851,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
852,Entangled,2,TXT:Ventricular pacing; TXT:A-V sequential pacemaker,21483,2.6852575199835007,Separable,1,pacing,
853,Uninformative,0,,74,0.0092495953302043,Uninformative,0,,
854,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
855,Uninformative,0,,1254,0.1567431424875161,Uninformative,0,,
856,Uninformative,0,,21478,2.6846325473260544,Uninformative,0,,
857,Uninformative,0,,7270,0.9087102439268282,Uninformative,0,,
858,Dead,0,,0,0.0,Dead,0,,
859,Uninformative,0,,1219,0.1523683338853925,Uninformative,0,,
860,Uninformative,0,,109,0.0136244039323279,Uninformative,0,,
861,Uninformative,0,,1554,0.1942415019342903,Uninformative,0,,
862,Separable,1,TXT:Atrial flutter with rapid ventricular re,8768,1.0959520520977206,Separable,1,atrial_flutter,
863,Uninformative,0,,7035,0.8793365290268551,Uninformative,0,,
864,Uninformative,0,,1854,0.2317398613810646,Uninformative,0,,
865,Uninformative,0,,52685,6.585336891510996,Uninformative,0,,
866,Uninformative,0,,43,0.0053747648540376,Uninformative,0,,
867,Uninformative,0,,41716,5.2142718756054425,Uninformative,0,,
868,Uninformative,0,,47,0.0058747429799946,Uninformative,0,,
869,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
870,Uninformative,0,,19,0.0023748960982956,Uninformative,0,,
871,Uninformative,0,,4,0.0004999781259569,Uninformative,0,,
872,Uninformative,0,,7,0.0008749617204247,Uninformative,0,,
873,Uninformative,0,,2729,0.341110076434156,Uninformative,0,,
874,Uninformative,0,,36,0.0044998031336129,Uninformative,0,,
875,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
876,Uninformative,0,,2768,0.3459848631622366,Uninformative,0,,
877,Uninformative,0,,34474,4.309061478560313,Uninformative,0,,
878,Uninformative,0,,49702,6.212478204078572,Uninformative,0,,
879,Uninformative,0,,8,0.0009999562519139,Uninformative,0,,
880,Uninformative,0,,15371,1.9212909435212209,Uninformative,0,,
881,Uninformative,0,,1,0.0001249945314892,Uninformative,0,,
882,Uninformative,0,,51064,6.382720755966926,Uninformative,0,,
883,Uninformative,0,,594,0.0742467517046129,Uninformative,0,,
884,Entangled,2,TXT:Ventricular pacing; TXT:A-V sequential pacemaker,28699,3.587218059209909,Separable,1,pacing,
885,Uninformative,0,,21,0.0026248851612741,Uninformative,0,,
886,Entangled,4,TXT:Ventricular pacing; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Accelerated idioventricular rhythm,28011,3.5012218215453075,Entangled,3,idioventricular; infarct_anterolateral; pacing,Mixed
887,Uninformative,0,,218,0.0272488078646559,Uninformative,0,,
888,Uninformative,0,,15900,1.9874130506790328,Uninformative,0,,
889,Uninformative,0,,20614,2.5766372721193447,Uninformative,0,,
890,Uninformative,0,,151,0.0188741742548763,Uninformative,0,,
891,Uninformative,0,,17364,2.170405044779291,Uninformative,0,,
892,Uninformative,0,,20121,2.5150149680951457,Uninformative,0,,
893,Uninformative,0,,23,0.0028748742242526,Uninformative,0,,
894,Uninformative,0,,5,0.0006249726574462,Uninformative,0,,
895,Uninformative,0,,10858,1.3571906229102475,Uninformative,0,,
