atom_id,heart_rate,pr_interval,qrs_duration,qt_interval,qtc,p_axis,qrs_axis,t_axis,tachycardia,bradycardia,wide_qrs,long_qt,left_axis,right_axis,st_elevation,st_depression
47,-0.0678896880547585,-0.007648845847023459,-0.027917849948429628,0.0037555834837179752,-0.07598814934575693,-0.03304228037103166,0.009682894794587863,0.03375015266533785,-0.0013994730250804408,-0.01747654505581068,-0.046194885994682244,-0.048142187111617316,-0.04107364397321041,-0.0615146551768098,0.008187974140865542,0.00041936435821955626
48,,,,,,,,,,,,,,,,
49,-0.7484164961975959,-0.30569022775116667,-0.27834106770209005,-0.2798462773537607,-0.273979410037552,0.18617402417859807,0.3973622193324084,0.5348154458184996,-0.23543821972085713,0.29254981794264706,-0.1108124218046711,-0.18699000366355337,-0.349868478632326,0.3202476476049413,-0.12887298666335548,
50,,,,,,,,,,,,,,,,
51,0.12156347203835677,0.02440456220558139,0.10576528039886256,-0.057629122056093524,0.08449329535366229,0.011156301842247618,-0.08485782415519602,0.06557804057938835,0.00303059276538036,-0.08444355226794643,0.03396346965462738,0.0772585190456656,-0.00010025307057872665,-0.009959958991809887,0.001296221487606412,0.0038818045899626616
52,,,,,,,,,,,,,,,,
53,0.08778744801507843,0.15572552891807548,0.011834524280379479,-0.011721626573265205,0.07716305437000244,-0.04699276415005552,-0.02455497557310919,0.02922597844269866,-0.027285464120668117,-0.04395356038174484,-0.005644509944630794,0.06020502175089461,-0.007689998252509517,-0.0019235466684309117,-0.010836809717787697,0.00028206218626384075
54,-0.2490250832469817,-0.1702085308587667,0.16044330727670633,0.27423123653731063,0.06411019041399867,0.17281860082904396,-0.05826297769369205,-0.019057785481001826,-0.09170300241151945,0.21810126924188428,0.1404163691343338,0.06897460142102416,0.10202737300887296,0.025585511224897006,-0.0034258371981082687,0.006449305580705236
55,-0.07792796243407796,-0.0776179266820722,0.3770616145972863,0.3359945932441699,0.28748843940252167,0.13730956717507328,-0.2294378194275074,0.18497514821105468,-0.09903596291365598,-0.09794663930597361,0.3539878029320683,0.2665116796365682,0.2348405560233119,0.03320805088739046,-0.008143495264951929,0.005172868969150088
56,-0.09891944420176849,0.04477731348451399,0.019451900568070953,0.14569387774302875,0.015359124593406255,-0.03008980116192744,0.14570892013899994,0.006887904224662973,-0.14205036317418746,0.0523910127070605,0.02133520963645871,-0.009896168899902578,-0.05505757216228317,0.12058377601103526,0.0328579833718057,-0.035705391591380746
57,0.25549291683013536,0.11887859612720424,-0.058116512326096034,-0.22738347350529908,0.009909455733722072,0.007924076133805339,0.049563987993651464,0.030512396877458305,0.16369470564469304,-0.15407241722655712,-0.08905260384490234,-0.014300414690251282,-0.0777661401072126,-0.005899336587591402,-0.006664441854413113,-0.0034851367136297215
58,0.2866186508719967,-0.11585513971893342,-0.08255766074297081,-0.2633279324387534,-0.010153556160285368,0.03469816009591628,0.1515357146344507,-0.025537800925028286,0.22010847365665664,-0.138345789911461,-0.08479508245209466,-0.021959081668209014,-0.1010784958749281,0.011349334772397237,-0.010799685581232364,0.016263694311082853
59,-0.06507073092103687,0.0365163978854206,0.06802408158872149,0.09911307921825083,0.035102543971427605,-0.006790816972170103,-0.07720459906262363,0.023336960756119844,-0.05553853208901644,-0.0846338885390332,0.05961709868177412,0.0390742600106804,0.10144037351006864,0.0422764686064526,0.003381149643969772,-0.0181400685060283
